order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
CORD000001,CUS00077,2019-09-25,Nickolson,"[{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Bloom 262"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1}]",1832.83,13.45,-37.886102,144.933359,20,1479.71,Spring,False,8.1513,"i installed candle orbit 548 to reach a bedroom and hallway where the main connection was inconsistent. the extra coverage is noticeable, and ordinary browsing and television streaming now work in those areas. connection quality still changes when doors are closed or several devices are active, so placement matters. the setup instructions were adequate but required a little trial and error. it is a useful extension for moderate household needs, with performance that depends heavily on the surrounding layout.",True
CORD000002,CUS00304,2019-02-15,Nickolson,"[{""product"":""Candle Bloom 1000"",""quantity"":2},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Bloom 262"",""quantity"":1}]",4899.04,13.99,-37.868823,144.956379,0,4913.03,Summer,False,5.7036,"vela core 183 was compared with a small television already in the living room for casual gaming. the older screen had fewer smart features, but its picture appeared immediately and its controls were predictable. vela core 183 takes longer to reach a usable screen, and returning from an application often leaves a blank image for several seconds. those delays are irritating when the device is meant for relaxed evening play. the picture is visible, although dark scenes look muddy and bright areas lose detail. motion occasionally appears blurred, especially when the game changes quickly. the built-in speakers produce sound, but dialogue is weak and effects become harsh when the volume is raised. connecting a controller was not consistently smooth; sometimes it was recognised after a restart, while another attempt required repeating the pairing process. the older television did not offer the same on-screen options, but it avoided these repeated interruptions. family use made the weaknesses more obvious. different people changed settings and then struggled to return them, because menus are crowded and the labels are not always clear. streaming also paused twice during ordinary use even though the household connection was unchanged. support supplied general reset instructions and did not explain the recurring blank screen. vela core 183 can show a game, but the lag, poor sound, and frustrating controls outweigh its added features. for casual living-room gaming, i find the older television less troublesome. i cannot recommend this display.",True
CORD000003,CUS00310,2019-11-17,Nickolson,"[{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":2},{""product"":""Candle Orbit 656"",""quantity"":2}]",11468.15,13.25,-37.886551,144.944021,0,11481.4,Spring,False,7.8818,"vela nova 339 has made it easier to connect several devices without carrying a collection of separate adapters. it is small enough for a pocket or work bag, and changing between connected items has been straightforward. the connections have remained stable during ordinary use at my desk and while travelling. the close spacing can be awkward with unusually wide plugs, but the adapter is still practical and has simplified my setup.",True
CORD000004,CUS00030,2019-04-26,Bakers,"[{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Orbit 656"",""quantity"":1}]",2976.62,12.28,37.839357,145.062686,5,2840.07,Autumn,False,6.7646,"i picked up the vela ridge 779 after getting tired of finding charging cables in a tangled heap beside my desk. it is a modest accessory, but it has made that part of my room noticeably calmer. i keep the organiser near the power outlet, and the cables now stay in separate positions instead of sliding behind furniture or wrapping around one another. setting it up took almost no effort, which suited the simple job i expected it to do. the first improvement was at my workstation. i use more than one device during the day, so i used to spend time sorting through cords before i could connect anything. with the vela ridge 779 in place, each cable can be reached and returned without disturbing the others. the openings hold ordinary charging leads securely while still allowing me to pull out enough length for a phone on the desk. i have not had to force a connector through or bend a cable sharply to make the arrangement work. i also tried it beside the sofa, where loose cables had been especially annoying. moving the organiser was simple, and it stayed in position during normal use. the finish has remained tidy after being handled repeatedly, and dust can be removed with a quick wipe. it is not large enough for every kind of cable or for a bulky power unit, so i still keep those items separately. that limitation is easy to understand given its compact size, and it has not reduced its value for the thin charging leads i use most. after several weeks, the main benefit is the time saved in small moments. i can pick up the correct cable immediately, pack one for an outing without searching, and leave the desk looking orderly at the end of the day. the vela ridge 779 does not do anything complicated, but it performs its organising role consistently and occupies very little space. anyone wanting a practical way to keep everyday charging cables under control should find it a worthwhile little addition.",True
CORD000005,CUS00472,2019-02-08,Thompson,"[{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":1}]",3629.56,11.54,-37.830194,144.893928,5,3459.62,Summer,False,5.058,"candle edge 284 has made shared-room music playback more pleasant than the small speaker i was using before. i wanted something that could fill ordinary household moments without requiring constant adjustment, and this unit has fitted that role well. compared with my old speaker, the sound carries more evenly across the room, so people sitting away from the centre can still follow the music. pairing was simple, and different members of the household have been able to use it without a long explanation. we play background music while cooking, cleaning, or having friends over, and the connection has stayed dependable during those ordinary activities. the volume is enough for our room, though anyone wanting a very forceful party system would probably choose a larger product. for our purpose, the balanced presentation is more valuable than sheer loudness. the controls are easy to locate, and the speaker can be moved from one shelf to another without making the setup feel like an event. my previous unit was smaller and convenient to carry, but its sound became thin when several people were talking. candle edge 284 keeps music present without becoming harsh or demanding attention. i have used it for several weeks and have not needed to troubleshoot the connection after the initial pairing. there is no need to use every available feature to enjoy it; the basic playback function is already satisfying. compared with my earlier speaker, candle edge 284 gives our shared room a fuller and more dependable music experience, which is exactly the improvement i was hoping for.",True
CORD000006,CUS00344,2019-07-11,Bakers,"[{""product"":""Candle Quest 498"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1}]",1573.04,11.92,-37.822447,145.015544,15,1349,Winter,False,2.2584,"vela halo 335 has been useful for keeping track of door and window activity while i am working elsewhere in the house. installation was uncomplicated, and the alerts have arrived promptly when someone opens or closes the monitored points. i can check the activity history when i miss an alert, which is useful in a busy household where people do not always announce what they are doing. the unit itself is small and has remained secure through ordinary use. the notifications are clear enough to identify the relevant area, and i have not needed to reset the system during the time i have owned it. it does take a little adjustment to choose notification times that do not become distracting, especially during a busy morning. once those preferences were set, vela halo 335 became a quiet but valuable part of the home routine and gave me better awareness without constant checking.",True
CORD000007,CUS00160,2019-01-20,Thompson,"[{""product"":""Candle Quest 498"",""quantity"":1},{""product"":""Candle Quest 354"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1}]",1975.82,15.27,-37.767792,144.882966,20,1595.93,Summer,False,7.5256,"i used candle vista 1046 for game streaming and recording, but the results were disappointing from the first session. the device captures a basic signal, yet the stream repeatedly develops stutters when the game becomes busy. audio and video also drift apart often enough to make recorded clips awkward to watch. i tried changing the capture settings and reconnecting the cables, but the same problem returned during later sessions. the software interface adds more frustration. important controls are buried in menus, and the preview can freeze while the recording indicator continues to show activity. on one occasion i discovered that a long session had not been saved properly, which made the hardware difficult to trust. heat from the unit is noticeable during extended use, and the casing feels less substantial than expected. candle vista 1046 handles a simple input, but unreliable streaming, poor software feedback, and lost recordings make it unsuitable for serious media capture. i regret buying it.",False
CORD000008,CUS00287,2019-06-21,Nickolson,"[{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1}]",2965.96,29.54,-37.880996,145.007285,20,2402.31,Winter,True,7.6891,"the vela echo 979 found a place on my desk after i grew tired of fishing through a drawer for the right charging lead. i use several cables during the week, and this mobile accessory has made the small area beside my laptop much less chaotic. during the first evening i grouped the leads by length and purpose, then started using the spaces consistently. the difference is modest but noticeable: i can pick up the cable i need without pulling three others onto the floor, and the ends remain within reach when i unplug a device. what i like most is that the organiser does not demand a new routine every time i use it. i leave it beside the power strip, return each cable after charging, and the arrangement stays tidy. when i moved it to another part of the room for a week, it was just as easy to understand where everything belonged. the material has a firm feel and has handled repeated rearranging without looking tired. it does not make cables disappear, and a particularly thick lead occupies more room than a slim one, but those are sensible limitations rather than surprises. after thirty-seven days, the vela echo 979 has saved me a surprising amount of minor frustration. i no longer start a call by searching under notebooks, and i can see when a cable has been left connected before i tidy the desk. it also makes the charging area look more deliberate when someone visits, which is a small benefit i did not expect from such a simple product. the design is restrained, with no complicated mechanism to learn and no need for an app. i compared it with simply using a box, and the box was cheaper in effort but worse in access because everything ended up piled together. this organiser is not exciting, but it is practical, sturdy, and genuinely helpful in daily use. i am happy to keep it on the desk and would recommend it to anyone whose charging cables are always wandering.",True
CORD000009,CUS00092,2019-12-05,Bakers,"[{""product"":""Candle Flux 990"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":3},{""product"":""Candle Orbit 1034"",""quantity"":1}]",8123.89,12.01,-37.815295,145.060122,0,8135.9,Summer,False,5.7307,"vela atlas 449 has replaced the improvised arrangement i used to support a phone during shared desk work. previously, i leaned the device against notebooks or a mug, which meant the viewing angle changed whenever someone moved the desk. this accessory gives the phone a defined place and keeps the screen visible while i check messages, follow a reference, or join a short call. compared with the old solution, it is less distracting because i no longer have to rebuild the stand every time i pick the phone up. the support feels stable on a flat surface, and the base does not shift during normal tapping. i have used it at a shared workstation and on a kitchen table, and the viewing angle has suited both settings. the open design leaves the phone accessible rather than trapping it away, while the compact shape takes less room than i expected. it is also quick to fold or move when the desk needs to be cleared, which makes it more practical than a permanently fixed holder. there are limits. a thick case can make the fit less generous, and the adjustment range is not unlimited. i sometimes need to move the whole stand rather than change its angle precisely. the surface also collects dust around the support points. nevertheless, vela atlas 449 is a clear improvement over makeshift support. after eighteen days, it has provided a steadier, more orderly way to keep a phone visible in a shared workspace without adding much clutter or requiring a complicated installation.",True
CORD000010,CUS00327,2019-04-06,Thompson,"[{""product"":""Candle Flux 990"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1}]",3390.93,7.73,-37.804523,144.944167,15,2890.02,Autumn,False,0.9414,"the vela pulse 703 has suited our shared film and television viewing better than expected. the picture remains clear from the usual seating positions, and the menus are simple enough that different people can start a programme without asking for help. motion looks smooth during ordinary scenes, and the display has enough brightness for daytime viewing. switching between services and input sources has also been straightforward during family evenings. the built-in speakers lack depth for films, so we sometimes use separate audio, and reflections appear when the curtains are open. those limitations are easy to work around in our room. the display has been dependable through regular use and has made shared viewing less complicated. the vela pulse 703 offers a pleasant picture and a practical experience for everyday family entertainment.",True
