order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
CORD000501,CUS00392,2019-12-17,Thompson,"[{""product"":""Candle Bloom 262"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",,11.21,-37.77262,144.959458,5,3906.86,Summer,False,4.5848,"i installed the candle orbit 188 to create a separate guest network and keep track of the devices connected at home. the guest access is convenient when visitors arrive, and the device list helps me recognise which household equipment is online. initial setup required careful reading because several management options were grouped in places i did not expect. once configured, changing the guest access settings was straightforward, although the screen can feel busy when many devices are listed. the wireless connection has remained stable during ordinary browsing and streaming, but a newly added device sometimes took a little while to appear in the list. i also had to restart the unit after changing multiple settings in quick succession. the casing sits neatly beside my existing equipment and has not become warm during regular use. the candle orbit 188 provides useful control for a home network, with a capable management view balanced by a setup process and device updates that are not always immediate.",True
CORD000502,CUS00408,2019-11-21,Thompson,"[{""product"":""Candle Flux 990"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Bloom 262"",""quantity"":2},{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",7324.06,15.84,-37.861363,144.879962,15,6241.29,Spring,False,8.0026,"i installed vela nova 1095 for automated blind and curtain routines, expecting the household schedule to run without constant attention. instead, the blinds sometimes stop partway, fail to move, or respond several minutes after the command. a routine that should close everything together can leave one window untouched, which is frustrating at night and awkward when sunlight enters the room. the app shows commands as sent even when the motor has not moved, so its status information is unreliable. manual operation still works, but that basic function defeats the reason for installing automation. re-pairing the device has temporarily corrected the problem, although the same behaviour returns after further use. the motor is not especially quiet either, making late adjustments unpleasant. vela nova 1095 has created more checking and resetting than convenience, and its unreliable routines make it unsuitable for dependable blind control.",False
CORD000503,CUS00047,2019-04-03,Bakers,"[{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":2},{""product"":""Vela Halo 569"",""quantity"":1}]",5101.74,23.44,-37.747957,144.983926,0,5125.18,Autumn,True,6.9696,"i compared the vela ridge 581 with the phone i previously used for maps, travel planning, and media during journeys. the older handset could perform those tasks, but it became awkward when i needed navigation, messages, and a downloaded program in the same stretch of time. after thirty-eight days, the vela ridge 581 has made travel preparation and waiting periods more relaxed. i can check routes, update plans, and return to media without the repeated delays that had become familiar. the comparison is strongest when moving between places. the vela ridge 581 is comfortable to consult for directions, and the screen gives travel information enough space to read without constantly enlarging it. i have also used it for casual viewing during longer waits, where the previous phone tended to drain my attention through slow loading and frequent interruptions. the larger screen i use at home is still preferable for full films, and very detailed planning is easier on a computer, but those are natural limits for a phone. what makes this model valuable is the way the separate tasks fit together. the former device was adequate when used patiently, while the vela ridge 581 feels ready for the irregular demands of travel. it has reduced the number of moments when i need to stop, restart, or find another device. for route checking, family updates, and occasional media on the move, this phone is a more capable and reassuring companion.",True
CORD000504,CUS00414,2019-04-02,Nickolson,"[{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":1}]",5458.79,9.45,-37.790336,144.969325,20,4376.48,Autumn,False,3.1423,"i added vela nova 105 to control the lighting in a room that changes purpose during the day. in the morning it is a work area, later it becomes a place to relax, and in the evening i prefer softer light without getting up repeatedly. the app has made those transitions pleasantly simple. i can adjust the room from the chair, and household members who were initially sceptical learned the basic controls after only a few uses. the installation took a little patience because i checked the existing connection before fitting everything in place. once connected, the lighting responded promptly to ordinary commands. i have used the app when entering the room with full hands, when dimming the lights during a film, and when restoring a brighter setting before working. the most useful part has been the ability to make small changes without disturbing someone who is already settled. after a restart of our home network, vela nova 105 reconnected without requiring me to begin the whole process again. the app is not perfect. some screens take a moment to load, and i would prefer finer control over certain transitions. the physical lighting itself remains the main attraction, and it has continued to operate consistently through daily use. vela nova 105 has made one room easier to share because the atmosphere can change quickly for different activities. it is a modest piece of home automation, but the convenience has become part of our normal routine, and i am glad i installed it.",True
CORD000505,CUS00346,2019-06-30,Bakers,"[{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":2}]",3161.76,14.86,-37.770051,145.036211,10,2860.44,Winter,False,5.718,"vela ridge 527 gives me a quick summary after walks, cycling, and other exercise sessions. the information is easy to check after finishing, and the wearable does not distract me while i am active. i have found the trends more useful than individual readings. the display is small for detailed review, but the simple summaries and comfortable daily handling have made it a worthwhile training companion.",
CORD000506,CUS00226,2019-10-05,Nickolson,"[{""product"":""Candle Quest 354"",""quantity"":2},{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Candle Flux 990"",""quantity"":2}]",9511.55,14.75,-37.876591,144.979207,5,9050.72,Spring,False,6.5044,"candle shift 268 was installed to connect several shared household devices, but performance becomes poor as soon as the network is busy. one device may stream while another loses access, and a third can remain connected without loading anything. reconnecting requires repeated resets, which is frustrating when people are using the network at the same time. the setup screen gives little explanation for a failure, so troubleshooting becomes guesswork. i moved the unit, changed the wireless channel and reduced the number of devices, but the drops continued. a single phone can browse through it for a while, yet this narrow result does not meet the needs of a shared household. candle shift 268 has created unreliable access and more complaints instead of solving the connection problem.",False
CORD000507,CUS00156,2019-10-14,Thompson,"[{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":3},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",10197.12,13.56,-37.784475,144.904495,20,8171.26,Spring,False,4.881,"vela wave 391 was intended for family communication and casual apps, and i compared it with the older phone it was supposed to replace. calls connect and messages can be sent, but the surrounding experience is unreliable. notifications sometimes arrived long after the message had been received, which meant family members assumed i had ignored them. opening the conversation manually often revealed several waiting alerts at once. the older phone gives fewer features but does not create that uncertainty. casual applications were another source of frustration. switching between an app and a message caused visible pauses, and one application closed when i returned to it. the handset did not become unusable, but these interruptions made simple tasks feel awkward. web pages loaded unevenly on mobile data, especially while moving around town. signal was present, yet the response could stall before continuing without explanation. the camera is serviceable in bright outdoor light but weak indoors. faces lose detail and darker areas become muddy, so family snapshots often require several attempts. battery drain was modest during light messaging but much worse with calls and video, leaving little confidence late in the day. the smooth casing is slippery, and the side buttons are easy to press accidentally when the phone is held tightly. vela states a 24-month warranty, but support did not provide a convincing answer for delayed alerts or application closures. after 23 days, i keep the previous phone available because it is more dependable for contact. vela wave 391 handles basic communication, yet late notifications, sluggish apps, weak indoor photos, uneven data response, and poor battery confidence make it a disappointing family phone.",False
CORD000508,CUS00001,2019-08-23,Thompson,"[{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":1},{""product"":""Candle Quest 354"",""quantity"":1}]",2045.65,18.65,-37.803735,144.885771,20,1655.17,Winter,False,5.4761,"i used vela atlas 593 for small presentations and family photo viewing over several weeks. compared with the monitor i replaced, the display setup takes too much effort. connecting a presentation source is not consistently recognised on the first attempt, so i have had to disconnect and reconnect before an image appears. that delay is embarrassing when people are already waiting, and it makes the device unsuitable for anything that needs a predictable start. photo viewing is also disappointing. images look acceptable from directly in front, but colours shift noticeably when someone sits to the side. the built-in controls are buried behind several screens, and the remote often requires repeated presses before a menu responds. slideshow transitions pause at irregular points, leaving a blank screen for long enough to suggest that the unit has stopped. the basic picture function operates, but the overall handling feels unfinished and awkward. i compared vela atlas 593 with an older television connected to the same sources. the older setup begins more quickly, offers fewer confusing menus, and lets several people see the picture without a severe change in colour. this product occupies less space, but that is a weak consolation for unreliable presentation switching and frustrating photo sessions. the supplied warranty may help if the faults become permanent; it does not remove the recurring inconvenience. i cannot recommend it for shared viewing or presentations.",False
CORD000509,CUS00409,2019-02-25,Thompson,"[{""product"":""Candle Bloom 262"",""quantity"":1},{""product"":""Candle Quest 498"",""quantity"":3},{""product"":""Candle Orbit 656"",""quantity"":1}]",7305.32,14.18,-37.739392,144.908446,25,5493.17,Summer,False,8.8273,"vela echo 655 has given me a simpler way to manage the lights in my home. for nineteen days i have used the app to switch the room lighting on, turn it off, and set a few routines for times when i am usually busy. the response has been prompt during normal use, and the controls are arranged clearly enough that other people in the household learned them without much explanation. i especially like being able to change the lighting while already settled on the sofa instead of getting up repeatedly. the first connection took longer than expected because i had to check the placement and permissions, but once that was finished the daily operation became very smooth. i would welcome more fine-grained choices for unusual schedules, although the existing options cover my regular needs. vela echo 655 is a small convenience with a noticeable effect: the room feels easier to manage, and i have stopped thinking of lighting as another chore.",True
CORD000510,CUS00031,2019-06-09,Nickolson,"[{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",2993.07,16.88,-37.886661,145.002254,10,2710.64,Winter,False,8.0949,"i have used candle arc 942 for drawing at the kitchen table and for small creative jobs that do not justify opening my larger computer. the first few sketches were mainly about learning the surface and finding a grip that felt natural. after that short adjustment, drawing became fluid enough for rough ideas, coloured notes, and simple layouts. the tablet responds promptly to strokes, and i can zoom in when working on a small section without losing track of the whole image. most of my sessions last between twenty minutes and an hour. during that time the tablet remains comfortable to hold against a cushion or rest flat on the table. i like being able to pick it up when an idea appears, add a few lines, and put it away without preparing a full workspace. it has also been handy for reviewing an image while travelling around the house. the supplied pen is pleasant for ordinary sketching, although i would prefer a slightly more secure place to store it because it can disappear among papers. candle arc 942 has encouraged me to draw more often simply because it is available. i have used it for planning a small room arrangement, marking changes on a picture, and making quick visual reminders for a project. it is not a replacement for every tool in a full creative studio, and the smaller working area takes some getting used to when a drawing becomes detailed. for lightweight creative work, however, it feels responsive and approachable. the battery has carried me through my usual sessions, and the tablet has become a genuinely useful part of my creative routine.",True
CORD000511,CUS00063,2019-03-29,Bakers,"[{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",2397.76,9.58,-37.814578,145.032414,0,2407.34,Autumn,False,3.3058,"vela pulse 343 has worked well for showing photos and short presentations during family gatherings. images are bright enough to view from different seats, and browsing through albums is quick. guests understood the controls without explanation, which made sharing feel relaxed. the stand occupies some table space, but the display has been a useful and enjoyable centre for informal viewing.",True
CORD000512,CUS00205,2019-09-30,Bakers,"[{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":2},{""product"":""Candle Edge 680"",""quantity"":1}]",3415.81,16.49,-37.8842,145.032868,0,3432.3,Spring,False,8.8883,"i used the vela spark 243 for presentations and photo viewing and compared it with a plain monitor that had been in the spare room. the smart display looks less bulky, but that advantage disappears when setting up a presentation. files do not always appear in the order expected, and moving between a presentation and a photo folder is slow. the older monitor required an extra device, yet it showed slides without the pauses and menus that interrupt a meeting. with the vela spark 243, i have had to check the screen before presenting because a selected file can take too long to open. photo viewing is similarly uneven. images load clearly enough at normal size, but scrolling through a large group produces delays, and the display occasionally returns to the previous image after a pause. reflections make the screen difficult to read from the side, which is a problem when several people are gathered around it. the stand feels secure on a desk, though its limited adjustment makes the viewing angle awkward. a short presentation can be completed, and the basic display remains active, but completing a task is not the same as making it smooth. compared with the older monitor, this device adds smart features while introducing more points of failure. the controls are frustrating, the transitions are unreliable, and photo sessions feel unnecessarily slow. after forty-two days, i regret buying the vela spark 243 for meetings and cannot recommend it as a dependable presentation display.",False
CORD000513,CUS00155,2019-03-12,Nickolson,"[{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1}]",1031.77,7.21,-37.819512,144.97241,0,1038.98,Autumn,False,0.271,"vela core 201 replaced a phone that had become frustrating for ordinary navigation and communication. i was not looking for an elaborate camera or a device aimed at mobile gaming; i wanted something that would handle messages, calls, maps, and daily browsing without demanding constant attention. in that role it has been a strong step forward. the screen remains readable while i am checking directions, and the phone responds promptly to the small tasks i perform throughout the day. navigation has been particularly convenient. i use it while walking, on public transport, and when finding unfamiliar places, and i have not had the repeated pauses that affected my previous phone. calls and messages have also been uncomplicated. the body is comfortable enough for one-handed checking, although the smooth finish makes a case sensible if, like me, you tend to put the phone down on different surfaces. battery life has matched my routine rather than exceeding it dramatically, so heavy users may still want to carry a charger. compared with the older handset, vela core 201 feels less temperamental and more responsive. compared with a premium phone, it may not offer the same specialised extras, but those were not important to my use. i appreciate that it covers the practical middle ground without making simple communication feel like a technical project. after using it for several weeks, the main difference is the absence of small annoyances: maps open when needed, messages send without fuss, and the device generally stays out of the way.",True
CORD000514,CUS00386,2019-03-15,Bakers,"[{""product"":""Vela Halo 659"",""quantity"":2},{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":2}]",3439.68,13.88,-37.745053,145.052838,15,2937.61,Autumn,False,8.8193,"vela atlas 953 has improved our shared film and television evenings because it gives everyone a comfortable view from the sofa. compared with the smaller display we used before, subtitles are easier to follow and scenes remain enjoyable when someone sits off to the side. the picture has a lively quality without becoming harsh, and ordinary programmes look natural enough that we rarely adjust the settings. it feels designed for relaxed family viewing rather than for someone who wants to spend every evening calibrating a screen. we have used it for films, television series, family recordings, and occasional live programmes. switching between sources is straightforward, and the response after pressing a button is generally prompt. compared with our previous display, the menus create fewer interruptions when we are settling down to watch something. sound is clear for dialogue, which matters because some family members prefer a lower volume. for an action film i sometimes use separate speakers, but the built-in audio remains suitable for everyday viewing. the larger screen has also made group viewing more enjoyable because people do not need to sit directly in front of it. vela atlas 953 wakes quickly, and the remote is simple enough for visitors to use after a brief explanation. reflections are visible when sunlight reaches the room, and the smart menus contain a few choices we have not needed. these are modest drawbacks rather than reasons for concern. compared with the screen it replaced, this model offers a better balance of clarity, ease, and shared comfort. after several weeks of regular use, it has become the natural centre of our evenings and has earned a positive recommendation from me.",True
