order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
CORD001001,CUS00301,2019-03-02,Bakers,"[{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":2},{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1}]",5559.52,11.82,-37.792702,145.010386,5,5293.36,Autumn,False,2.3389,"candle shift 178 was installed for video meetings and media streaming, but the wireless connection caused repeated disruptions. nearby devices connected during setup, yet the signal weakened in the room where meetings were held, producing frozen faces and broken speech. streaming in another room also paused whenever a call was active. the management application was slow to update, so it was difficult to tell whether a setting had actually changed. restarting the unit restored service for a short period, but dropouts returned without an obvious trigger. the casing stayed cool and the status light remained on, although neither provided useful reassurance when the network failed. candle shift 178 handles light browsing, but its poor coverage and unreliable performance make it unsuitable for calls or shared media.",False
CORD001002,CUS00136,2019-02-01,Bakers,"[{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Quest 354"",""quantity"":1}]",667.49,9.8,-37.832075,145.003955,15,577.17,Summer,False,2.5719,"candle quest 1074 has worked well for online classes and video meetings. speech is clear enough to follow group discussions, and my microphone keeps me understandable without repeated adjustments. pairing with my computer was quick and reconnection has been dependable. the fit becomes slightly warm after a long session, but the clear audio and steady wireless performance are valuable.",True
CORD001003,CUS00148,2019-08-13,Thompson,"[{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":3},{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Candle Flux 1098"",""quantity"":2}]",5322.92,13.33,-37.840604,144.919888,15,4537.81,Winter,False,3.9173,"candle edge 392 has become a useful surface for drawing and lightweight creative work. i can sketch ideas, make quick annotations, and review them later without setting up a larger workstation. the screen gives the activity enough room to feel natural, and the response has stayed consistent during repeated use. i particularly like being able to move from a rough drawing to a reference image without changing devices. it is not intended for the most demanding creative projects, so i still use a fuller setup when a task becomes complex, but that boundary is clear. the tablet is comfortable to carry and has remained in good condition despite being moved between rooms. candle edge 392 has encouraged more spontaneous drawing and has provided a pleasant, practical tool for the lighter creative work i actually do.",True
CORD001004,CUS00152,2019-09-10,Bakers,"[{""product"":""Candle Flux 1098"",""quantity"":1}]",796.24,12.55,-37.855722,145.048683,25,609.73,Spring,False,6.9201,"the candle quest 984 has been playing music in our shared room for about six weeks, and it compares favourably with the small speaker i used before. it fills the space without requiring anyone to sit directly beside it, which suits our habit of moving between the table, sofa, and kitchen. the sound is pleasant for everyday playlists, podcasts, and background music, and voices remain understandable when we switch away from songs. what makes candle quest 984 more useful than my old speaker is the way it fits into group listening. i can connect it without moving furniture, and another person can take over the music without turning the whole routine into a technical task. we have used it during quiet work, casual meals, and weekend cleaning. it is not a dramatic room-filling system, but it gives the shared space a fuller feel than a phone or tiny desktop speaker. i compared it with a larger audio unit at a friend’s home. the larger product has more force at the lowest end and suits someone who wants music to dominate a room. candle quest 984 is more restrained, which is better for our shared use because conversation can continue. at very high volume, the sound loses some detail, so i keep it at a moderate level. that is also where the unit sounds most balanced. the body has been moved between shelves several times without becoming loose or awkward to handle. controls are easy to find, although the buttons are less distinct when the room is dark. i have not needed support, and daily playback has remained steady. people seeking concert-level impact may want something larger, but for shared-room music the candle quest 984 offers a convenient balance of clear voices, manageable size, and uncomplicated use.",True
CORD001005,CUS00012,2019-01-03,Bakers,"[{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":2},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Flux 990"",""quantity"":1}]",5673.07,11.61,-37.793576,144.979262,15,4833.72,Summer,False,2.3027,"vela nova 915 was intended to control a household outlet on a schedule, but the automation has been a persistent source of frustration. during the first few weeks, some scheduled changes happened late and others did not happen at all. i had to open the control app and check the outlet manually, which defeats the purpose of leaving a routine in place. reconnecting the device sometimes restores the schedule, but the same failure returns without warning. the setup instructions were brief and left several settings unclear, so finding the cause took unnecessary effort. manual switching is available, although the response can be delayed and the app does not always show the current state immediately. that uncertainty makes it difficult to use vela nova 915 for anything that needs dependable timing. i also dislike having to inspect the outlet before leaving home because i cannot trust the planned routine. the unit has remained physically intact, but reliable scheduled control is the reason i bought it. vela nova 915 is inconsistent, awkward to manage, and not suitable for a household that needs predictable automation.",False
CORD001006,CUS00449,2019-07-28,Bakers,"[{""product"":""Candle Orbit 656"",""quantity"":1},{""product"":""Candle Quest 354"",""quantity"":1},{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Bloom 1054"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":2}]",5895.51,28.38,-37.753772,144.98402,5,5629.11,Winter,True,6.329,"the vela halo 569 has been useful whenever i carry my phone and small accessories between home, work, and short trips. the interior has enough space for the device, a cable, and a few small items without forcing the zip closed. padding gives the phone a separate layer of protection from the other objects in my bag, and the exterior has handled being placed on tables and packed beside clothing without showing much wear. i like the compact shape because it slips into a larger bag rather than taking over the available space. the zip moves smoothly, although the pull is small enough that i use two fingers when opening it quickly. the lining is easy to shake clean, and the case has kept its shape after being compressed in luggage. it is storage rather than a full organiser, so anyone carrying many chargers may need something larger. for ordinary travel, the vela halo 569 has kept my phone secure, accessible, and separated from the clutter that usually gathers in a bag.",True
CORD001007,CUS00388,2019-09-10,Bakers,"[{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Candle Quest 498"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1}]",3855.18,9,-37.821741,145.013234,25,2900.38,Spring,False,2.0509,"vela core 939 has simplified my desk by letting several devices share one compact adapter. i use it with a laptop, phone and storage accessories, and connections have remained steady during ordinary work. it is light enough to carry between rooms, while the casing feels solid when plugged and unplugged regularly. the ports are close together, so larger connectors can crowd each other. even so, it is a useful space-saving accessory for everyday setups.",True
CORD001008,CUS00365,2019-11-24,Nickolson,"[{""product"":""Candle Orbit 1034"",""quantity"":1},{""product"":""Candle Flux 990"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1}]",4492.21,12.06,-37.874633,144.964738,20,3605.83,Spring,False,6.2455,"vela pulse 991 has handled the everyday communication needs of our family with very little trouble. calls are straightforward, messages arrive promptly, and the phone is responsive for the casual apps we use between errands and household tasks. i have passed it between family members, and the main settings are simple enough that everyone can find what they need. the screen is comfortable for reading messages and checking maps, while the device remains practical to carry around during the day. i also appreciate being able to organise the home screen so less frequent users are not faced with unnecessary clutter. the camera and other extras are not the reason i chose it, and i have not tested every feature extensively. for staying in touch, checking information and using ordinary apps, vela pulse 991 has been a steady choice. it has supported our routine well and feels like a sensible phone for shared family use.",True
CORD001009,CUS00367,2019-04-10,Bakers,"[{""product"":""Candle Edge 680"",""quantity"":1},{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":2}]",4596.66,11.65,-37.836553,145.054171,5,4378.48,Autumn,False,5.9598,"vela spark 567 has been useful on walks and during my commute because messages appear without forcing me to take out my phone. the display is readable indoors, and the vibration is noticeable without being startling. i have also found the timekeeping straightforward, with controls that do not take much learning. walking summaries are a reasonable overview, but i would not treat them as precise records; some shorter trips were represented differently from what i expected. the strap remains comfortable for ordinary wear, though it feels warm after a long afternoon. charging is simple, but the battery indicator changes rather quickly near the end. it covers notifications and basic activity awareness well, while the health features remain fairly limited.",True
CORD001010,CUS00377,2019-08-05,Bakers,"[{""product"":""Candle Quest 498"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":1},{""product"":""Vela Halo 659"",""quantity"":1},{""product"":""Candle Orbit 1034"",""quantity"":1}]",2304.05,14.36,-37.822682,145.05139,0,2318.41,Winter,False,5.1307,"candle orbit 1034 has been a convenient choice for music playback in our shared room. it starts quickly, sounds clear at ordinary volume and is simple enough for everyone to operate. the unit does not deliver especially strong bass, so it is better for background listening than for a full party. within that role, it has worked consistently and made everyday music more enjoyable.",True
CORD001011,CUS00347,2019-07-14,Nickolson,"[{""product"":""Candle Quest 498"",""quantity"":1},{""product"":""Candle Quest 354"",""quantity"":3},{""product"":""Candle Bloom 1000"",""quantity"":1},{""product"":""Vela Halo 569"",""quantity"":2}]",4630.69,10.42,-37.815268,144.965774,10,4178.04,Winter,False,0.4969,"the vela atlas 161 has been in my pocket for just over a month, long enough for it to become familiar in ordinary situations rather than only during the first enthusiastic days. i mainly chose it for mobile photography and messaging, and both uses have fitted neatly into my routine. the camera starts quickly when i want to capture something unexpected, and daylight photographs retain enough detail for sharing or keeping as memories. i have taken pictures indoors, on walks, and during evening meals, with the results varying naturally with the available light but remaining pleasing for everyday use. messages arrive promptly, the keyboard is responsive, and conversations are easy to manage when several threads are active. i have also appreciated the way the vela atlas 161 handles small daily transitions. moving from a camera view to a message, checking a notification, and returning to another task feels smooth, so the phone does not interrupt the moment i am trying to record. its size works well for one-handed use, although i sometimes adjust my grip for the upper part of the screen. the battery has covered my usual day of calls, messages, photos, and browsing, though a busy day with extensive camera use requires more attention before bedtime. that is a reasonable trade-off for a phone that i carry constantly. i have not encountered any confusing behaviour or unreliable connection during regular use. the vela atlas 161 is not positioned as a specialist camera, but as a practical 5g smartphone for photography, conversation, and quick communication, it has served me with reassuring consistency.",True
CORD001012,CUS00400,2019-07-12,Bakers,"[{""product"":""Candle Quest 498"",""quantity"":2}]",2616.66,15.9,-37.76082,145.043942,15,2240.06,Winter,False,6.9443,"vela atlas 413 has been in our living area for sixteen days, mostly handling music and spoken-content playback while the household gets on with other things. i chose it because i wanted something that could fill the room without requiring me to sit directly beside it. during breakfast i use it for music, and later in the day it is useful for listening to programmes while cooking or sorting laundry. that has made the room feel more welcoming without turning playback into a formal activity. the display is convenient when i want to check what is playing, but i do not have to keep looking at it. i have moved it between a shelf and a side table while settling on a spot, and the unit has stayed secure and presentable. spoken content remains understandable during ordinary household noise, and music has been pleasant for background listening. different people in the house have used it at different times, so it has been reassuring that the basic controls do not feel mysterious after a few days away from them. i have found that louder listening is less suitable when people are talking nearby, so i keep the volume moderate in our shared space. that is a normal consideration for any room-based speaker rather than a serious flaw. vela atlas 413 has become part of our evening pattern in a very natural way. it provides the kind of dependable background entertainment i wanted, and i am glad we chose it for the living area.",True
CORD001013,CUS00088,2019-09-11,Nickolson,"[{""product"":""Candle Bloom 262"",""quantity"":1},{""product"":""Candle Quest 498"",""quantity"":1}]",2426.6,20.07,-37.842133,144.981976,10,2204.01,Spring,True,2.8357,"candle edge 536 is the first portable gaming device i have used that feels suited to travel rather than merely small enough to carry. i compared it with a compact setup i previously packed for trips, and the difference was visible in the amount of preparation required. candle edge 536 lets me start playing without arranging several separate pieces, while its controls leave enough room for comfortable handling. the older setup was workable, but it felt cramped whenever a session lasted more than a short break. i have carried candle edge 536 between rooms, used it during travel downtime, and played both quick games and longer sessions. the controls respond consistently, and the screen remains readable in ordinary indoor light. the built-in audio is sufficient for casual play, although i prefer headphones in busy places. its body is not feather-light, and the carrying case takes up space in a small bag, but that added size gives the device a more secure feel. i would rather carry a slightly larger unit than repeatedly adjust a fragile arrangement. the battery has suited short trips and several sessions, though demanding games naturally reduce the time between charges. charging is simple, and i have not needed to carry a collection of accessories. candle edge 536 does not offer the same broad workspace as a desktop, and anyone who plays only at home may prefer larger equipment. for travel, however, the comparison favours this device. it combines a comfortable control layout, dependable response, and sensible portability in one piece of hardware. the few compromises are predictable for a portable design, while the convenience of taking a complete gaming experience with me has made candle edge 536 an easy part of my travel bag.",True
